snapped_at,price (open),market_cap,total_volume
2022-08-23 00:00:00 UTC,0.058167129,1146918.882,36.82415495
2022-08-24 00:00:00 UTC,0.057550289,1137791.477,259.089438
2022-08-25 00:00:00 UTC,0.079978092,1581713.432,24.42736806
2022-08-26 00:00:00 UTC,0.058146363,1148809.065,16.31515052
2022-08-27 00:00:00 UTC,0.054094823,1069102.116,20.09306761
2022-08-28 00:00:00 UTC,0.055966495,1106602.667,35.97569208
2022-08-29 00:00:00 UTC,0.052563427,1039898.457,90.62682565
2022-08-30 00:00:00 UTC,0.079448479,1569609.342,129.860283
2022-08-31 00:00:00 UTC,0.061314152,1215550.958,196.7595694
2022-09-01 00:00:00 UTC,0.055637488,1099809.991,591.1344672
2022-09-02 00:00:00 UTC,0.064565565,1274626.96,11.48182757
2022-09-03 00:00:00 UTC,0.055358461,1094316.654,174.5975262
2022-09-04 00:00:00 UTC,0.053080044,1049271.563,33.94830411
2022-09-05 00:00:00 UTC,0.054605151,1079507.319,27.33090978
2022-09-06 00:00:00 UTC,0.05924705,1171274.553,16.40692501
2022-09-07 00:00:00 UTC,0.049506418,978708.7744,29.52340672
2022-09-08 00:00:00 UTC,0.052110833,1030840.047,42.490446
2022-09-09 00:00:00 UTC,0.051565632,1019353.568,357.1212648
2022-09-10 00:00:00 UTC,0.05406712,1068770.167,76.83282721
2022-09-11 00:00:00 UTC,0.054204759,1071825.648,109.3166405
2022-09-12 00:00:00 UTC,0.053974507,1066676.686,100.3315215
